"Catalog Selected Products List","Catalog Selected Products List"
"List of Products that are selected by sku","List of Products that are selected by sku"
"default Products Grid Template","default Products Grid Template"
"Products SKU","Products SKU"
"3 or 6 digits in hexadecimal","3 or 6 digits in hexadecimal"
"Text color","Text color"
